CountryName,CountryISO3,Year,IndicatorName,IndicatorCode,Value
Bosnia and Herzegovina,BIH,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,24.4
Bosnia and Herzegovina,BIH,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,24.5
Bosnia and Herzegovina,BIH,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,24.6
Bosnia and Herzegovina,BIH,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,24.7
Bosnia and Herzegovina,BIH,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,25
Bosnia and Herzegovina,BIH,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,25.3
Bosnia and Herzegovina,BIH,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.3
Bosnia and Herzegovina,BIH,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.9
Bosnia and Herzegovina,BIH,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.6
Bosnia and Herzegovina,BIH,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.4
Bosnia and Herzegovina,BIH,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.2
Bosnia and Herzegovina,BIH,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.1
Bosnia and Herzegovina,BIH,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.1
Bosnia and Herzegovina,BIH,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.2
Bosnia and Herzegovina,BIH,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.4
Bosnia and Herzegovina,BIH,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.6
Bosnia and Herzegovina,BIH,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,23.9
Bosnia and Herzegovina,BIH,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.2
Bosnia and Herzegovina,BIH,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.5
Bosnia and Herzegovina,BIH,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.7
Bosnia and Herzegovina,BIH,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.8
Bosnia and Herzegovina,BIH,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.8
Bosnia and Herzegovina,BIH,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.8
Bosnia and Herzegovina,BIH,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,24.8
Bosnia and Herzegovina,BIH,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,25
Bosnia and Herzegovina,BIH,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,25.3
Bosnia and Herzegovina,BIH,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.3
Bosnia and Herzegovina,BIH,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24
Bosnia and Herzegovina,BIH,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.8
Bosnia and Herzegovina,BIH,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.8
Bosnia and Herzegovina,BIH,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.7
Bosnia and Herzegovina,BIH,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.7
Bosnia and Herzegovina,BIH,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.7
Bosnia and Herzegovina,BIH,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.7
Bosnia and Herzegovina,BIH,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.8
Bosnia and Herzegovina,BIH,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.8
Bosnia and Herzegovina,BIH,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,23.9
Bosnia and Herzegovina,BIH,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24
Bosnia and Herzegovina,BIH,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.1
Bosnia and Herzegovina,BIH,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.2
Bosnia and Herzegovina,BIH,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.3
Bosnia and Herzegovina,BIH,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.4
Bosnia and Herzegovina,BIH,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.4
Bosnia and Herzegovina,BIH,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.6
Bosnia and Herzegovina,BIH,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,24.8
Bosnia and Herzegovina,BIH,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.2
Bosnia and Herzegovina,BIH,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.80974774248712
Bosnia and Herzegovina,BIH,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.93184786921491
Bosnia and Herzegovina,BIH,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.1246786154964
Bosnia and Herzegovina,BIH,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.1630684915225
Bosnia and Herzegovina,BIH,2021,Number of infant deaths,SH.DTH.IMRT,136
Bosnia and Herzegovina,BIH,2020,Number of infant deaths,SH.DTH.IMRT,145
Bosnia and Herzegovina,BIH,2019,Number of infant deaths,SH.DTH.IMRT,154
Bosnia and Herzegovina,BIH,2018,Number of infant deaths,SH.DTH.IMRT,161
Bosnia and Herzegovina,BIH,2017,Number of infant deaths,SH.DTH.IMRT,165
Bosnia and Herzegovina,BIH,2016,Number of infant deaths,SH.DTH.IMRT,168
Bosnia and Herzegovina,BIH,2015,Number of infant deaths,SH.DTH.IMRT,170
Bosnia and Herzegovina,BIH,2014,Number of infant deaths,SH.DTH.IMRT,176
Bosnia and Herzegovina,BIH,2013,Number of infant deaths,SH.DTH.IMRT,188
Bosnia and Herzegovina,BIH,2012,Number of infant deaths,SH.DTH.IMRT,196
Bosnia and Herzegovina,BIH,2011,Number of infant deaths,SH.DTH.IMRT,210
Bosnia and Herzegovina,BIH,2010,Number of infant deaths,SH.DTH.IMRT,235
Bosnia and Herzegovina,BIH,2009,Number of infant deaths,SH.DTH.IMRT,255
Bosnia and Herzegovina,BIH,2008,Number of infant deaths,SH.DTH.IMRT,271
Bosnia and Herzegovina,BIH,2007,Number of infant deaths,SH.DTH.IMRT,281
Bosnia and Herzegovina,BIH,2006,Number of infant deaths,SH.DTH.IMRT,291
Bosnia and Herzegovina,BIH,2005,Number of infant deaths,SH.DTH.IMRT,312
Bosnia and Herzegovina,BIH,2004,Number of infant deaths,SH.DTH.IMRT,326
Bosnia and Herzegovina,BIH,2003,Number of infant deaths,SH.DTH.IMRT,334
Bosnia and Herzegovina,BIH,2002,Number of infant deaths,SH.DTH.IMRT,338
Bosnia and Herzegovina,BIH,2001,Number of infant deaths,SH.DTH.IMRT,348
Bosnia and Herzegovina,BIH,2000,Number of infant deaths,SH.DTH.IMRT,372
Bosnia and Herzegovina,BIH,1999,Number of infant deaths,SH.DTH.IMRT,417
Bosnia and Herzegovina,BIH,1998,Number of infant deaths,SH.DTH.IMRT,468
Bosnia and Herzegovina,BIH,1997,Number of infant deaths,SH.DTH.IMRT,468
Bosnia and Herzegovina,BIH,1996,Number of infant deaths,SH.DTH.IMRT,443
Bosnia and Herzegovina,BIH,1995,Number of infant deaths,SH.DTH.IMRT,494
Bosnia and Herzegovina,BIH,1994,Number of infant deaths,SH.DTH.IMRT,803
Bosnia and Herzegovina,BIH,1993,Number of infant deaths,SH.DTH.IMRT,1202
Bosnia and Herzegovina,BIH,1992,Number of infant deaths,SH.DTH.IMRT,1420
Bosnia and Herzegovina,BIH,1991,Number of infant deaths,SH.DTH.IMRT,994
Bosnia and Herzegovina,BIH,1990,Number of infant deaths,SH.DTH.IMRT,1090
Bosnia and Herzegovina,BIH,1989,Number of infant deaths,SH.DTH.IMRT,1213
Bosnia and Herzegovina,BIH,1988,Number of infant deaths,SH.DTH.IMRT,1352
Bosnia and Herzegovina,BIH,1987,Number of infant deaths,SH.DTH.IMRT,1499
Bosnia and Herzegovina,BIH,1986,Number of infant deaths,SH.DTH.IMRT,1663
Bosnia and Herzegovina,BIH,1985,Number of infant deaths,SH.DTH.IMRT,1846
Bosnia and Herzegovina,BIH,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.76658780271476
Bosnia and Herzegovina,BIH,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.19807008705015
Bosnia and Herzegovina,BIH,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.53121916421062
Bosnia and Herzegovina,BIH,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.26656324317548
Bosnia and Herzegovina,BIH,2021,Number of under-five deaths,SH.DTH.MORT,159
Bosnia and Herzegovina,BIH,2020,Number of under-five deaths,SH.DTH.MORT,169
Bosnia and Herzegovina,BIH,2019,Number of under-five deaths,SH.DTH.MORT,179
Bosnia and Herzegovina,BIH,2018,Number of under-five deaths,SH.DTH.MORT,187
Bosnia and Herzegovina,BIH,2017,Number of under-five deaths,SH.DTH.MORT,191
Bosnia and Herzegovina,BIH,2016,Number of under-five deaths,SH.DTH.MORT,195
Bosnia and Herzegovina,BIH,2015,Number of under-five deaths,SH.DTH.MORT,198
Bosnia and Herzegovina,BIH,2014,Number of under-five deaths,SH.DTH.MORT,206
Bosnia and Herzegovina,BIH,2013,Number of under-five deaths,SH.DTH.MORT,219
Bosnia and Herzegovina,BIH,2012,Number of under-five deaths,SH.DTH.MORT,229
Bosnia and Herzegovina,BIH,2011,Number of under-five deaths,SH.DTH.MORT,244
Bosnia and Herzegovina,BIH,2010,Number of under-five deaths,SH.DTH.MORT,271
Bosnia and Herzegovina,BIH,2009,Number of under-five deaths,SH.DTH.MORT,293
Bosnia and Herzegovina,BIH,2008,Number of under-five deaths,SH.DTH.MORT,311
Bosnia and Herzegovina,BIH,2007,Number of under-five deaths,SH.DTH.MORT,323
Bosnia and Herzegovina,BIH,2006,Number of under-five deaths,SH.DTH.MORT,336
Bosnia and Herzegovina,BIH,2005,Number of under-five deaths,SH.DTH.MORT,358
Bosnia and Herzegovina,BIH,2004,Number of under-five deaths,SH.DTH.MORT,373
Bosnia and Herzegovina,BIH,2003,Number of under-five deaths,SH.DTH.MORT,382
Bosnia and Herzegovina,BIH,2002,Number of under-five deaths,SH.DTH.MORT,390
Bosnia and Herzegovina,BIH,2001,Number of under-five deaths,SH.DTH.MORT,402
Bosnia and Herzegovina,BIH,2000,Number of under-five deaths,SH.DTH.MORT,426
Bosnia and Herzegovina,BIH,1999,Number of under-five deaths,SH.DTH.MORT,473
Bosnia and Herzegovina,BIH,1998,Number of under-five deaths,SH.DTH.MORT,525
Bosnia and Herzegovina,BIH,1997,Number of under-five deaths,SH.DTH.MORT,532
Bosnia and Herzegovina,BIH,1996,Number of under-five deaths,SH.DTH.MORT,519
Bosnia and Herzegovina,BIH,1995,Number of under-five deaths,SH.DTH.MORT,619
Bosnia and Herzegovina,BIH,1994,Number of under-five deaths,SH.DTH.MORT,1388
Bosnia and Herzegovina,BIH,1993,Number of under-five deaths,SH.DTH.MORT,2156
Bosnia and Herzegovina,BIH,1992,Number of under-five deaths,SH.DTH.MORT,2384
Bosnia and Herzegovina,BIH,1991,Number of under-five deaths,SH.DTH.MORT,1130
Bosnia and Herzegovina,BIH,1990,Number of under-five deaths,SH.DTH.MORT,1240
Bosnia and Herzegovina,BIH,1989,Number of under-five deaths,SH.DTH.MORT,1378
Bosnia and Herzegovina,BIH,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,94.4236633469105
Bosnia and Herzegovina,BIH,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,93.8700800763315
Bosnia and Herzegovina,BIH,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,93.344101873251
Bosnia and Herzegovina,BIH,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.5703673900243
Bosnia and Herzegovina,BIH,2021,Number of neonatal deaths,SH.DTH.NMRT,113
Bosnia and Herzegovina,BIH,2020,Number of neonatal deaths,SH.DTH.NMRT,121
Bosnia and Herzegovina,BIH,2019,Number of neonatal deaths,SH.DTH.NMRT,128
Bosnia and Herzegovina,BIH,2018,Number of neonatal deaths,SH.DTH.NMRT,136
Bosnia and Herzegovina,BIH,2017,Number of neonatal deaths,SH.DTH.NMRT,140
Bosnia and Herzegovina,BIH,2016,Number of neonatal deaths,SH.DTH.NMRT,143
Bosnia and Herzegovina,BIH,2015,Number of neonatal deaths,SH.DTH.NMRT,145
Bosnia and Herzegovina,BIH,2014,Number of neonatal deaths,SH.DTH.NMRT,148
Bosnia and Herzegovina,BIH,2013,Number of neonatal deaths,SH.DTH.NMRT,157
Bosnia and Herzegovina,BIH,2012,Number of neonatal deaths,SH.DTH.NMRT,168
Bosnia and Herzegovina,BIH,2011,Number of neonatal deaths,SH.DTH.NMRT,169
Bosnia and Herzegovina,BIH,2010,Number of neonatal deaths,SH.DTH.NMRT,188
Bosnia and Herzegovina,BIH,2009,Number of neonatal deaths,SH.DTH.NMRT,201
Bosnia and Herzegovina,BIH,2008,Number of neonatal deaths,SH.DTH.NMRT,206
Bosnia and Herzegovina,BIH,2007,Number of neonatal deaths,SH.DTH.NMRT,210
Bosnia and Herzegovina,BIH,2006,Number of neonatal deaths,SH.DTH.NMRT,205
Bosnia and Herzegovina,BIH,2005,Number of neonatal deaths,SH.DTH.NMRT,216
Bosnia and Herzegovina,BIH,2004,Number of neonatal deaths,SH.DTH.NMRT,233
Bosnia and Herzegovina,BIH,2003,Number of neonatal deaths,SH.DTH.NMRT,245
Bosnia and Herzegovina,BIH,2002,Number of neonatal deaths,SH.DTH.NMRT,259
Bosnia and Herzegovina,BIH,2001,Number of neonatal deaths,SH.DTH.NMRT,269
Bosnia and Herzegovina,BIH,2000,Number of neonatal deaths,SH.DTH.NMRT,291
Bosnia and Herzegovina,BIH,1999,Number of neonatal deaths,SH.DTH.NMRT,321
Bosnia and Herzegovina,BIH,1998,Number of neonatal deaths,SH.DTH.NMRT,375
Bosnia and Herzegovina,BIH,1997,Number of neonatal deaths,SH.DTH.NMRT,403
Bosnia and Herzegovina,BIH,1996,Number of neonatal deaths,SH.DTH.NMRT,371
Bosnia and Herzegovina,BIH,1995,Number of neonatal deaths,SH.DTH.NMRT,362
Bosnia and Herzegovina,BIH,1994,Number of neonatal deaths,SH.DTH.NMRT,439
Bosnia and Herzegovina,BIH,1993,Number of neonatal deaths,SH.DTH.NMRT,534
Bosnia and Herzegovina,BIH,1992,Number of neonatal deaths,SH.DTH.NMRT,709
Bosnia and Herzegovina,BIH,1991,Number of neonatal deaths,SH.DTH.NMRT,730
Bosnia and Herzegovina,BIH,1990,Number of neonatal deaths,SH.DTH.NMRT,758
Bosnia and Herzegovina,BIH,1989,Number of neonatal deaths,SH.DTH.NMRT,801
Bosnia and Herzegovina,BIH,1988,Number of neonatal deaths,SH.DTH.NMRT,867
Bosnia and Herzegovina,BIH,1987,Number of neonatal deaths,SH.DTH.NMRT,946
Bosnia and Herzegovina,BIH,1986,Number of neonatal deaths,SH.DTH.NMRT,1052
Bosnia and Herzegovina,BIH,2021,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,14.3
Bosnia and Herzegovina,BIH,2020,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,14.5
Bosnia and Herzegovina,BIH,2019,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,14.7
Bosnia and Herzegovina,BIH,2018,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,14.9
Bosnia and Herzegovina,BIH,2017,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,15.1
Bosnia and Herzegovina,BIH,2016,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,15.2
Bosnia and Herzegovina,BIH,2015,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,15.3
Bosnia and Herzegovina,BIH,2014,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,15.3
Bosnia and Herzegovina,BIH,2013,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,15.7
Bosnia and Herzegovina,BIH,2012,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,16
Bosnia and Herzegovina,BIH,2011,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,16.3
Bosnia and Herzegovina,BIH,2010,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,16.7
Bosnia and Herzegovina,BIH,2009,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,17
Bosnia and Herzegovina,BIH,2008,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,17.3
Bosnia and Herzegovina,BIH,2007,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,17.7
Bosnia and Herzegovina,BIH,2006,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,18.2
Bosnia and Herzegovina,BIH,2005,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,18.8
Bosnia and Herzegovina,BIH,2004,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19
Bosnia and Herzegovina,BIH,2003,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19.7
Bosnia and Herzegovina,BIH,2002,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20
Bosnia and Herzegovina,BIH,2001,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19
Bosnia and Herzegovina,BIH,2000,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19.3
Bosnia and Herzegovina,BIH,1999,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20.4
Bosnia and Herzegovina,BIH,1998,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20.4
Bosnia and Herzegovina,BIH,1997,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20
Bosnia and Herzegovina,BIH,1996,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19.5
Bosnia and Herzegovina,BIH,1995,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,18.9
Bosnia and Herzegovina,BIH,1994,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20
Bosnia and Herzegovina,BIH,1993,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20.6
Bosnia and Herzegovina,BIH,1992,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,19.4
Bosnia and Herzegovina,BIH,1991,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,20
Bosnia and Herzegovina,BIH,1990,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,18.5
Bosnia and Herzegovina,BIH,2021,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.6
Bosnia and Herzegovina,BIH,2020,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.7
Bosnia and Herzegovina,BIH,2019,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.9
Bosnia and Herzegovina,BIH,2018,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6
Bosnia and Herzegovina,BIH,2017,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.1
Bosnia and Herzegovina,BIH,2016,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.2
Bosnia and Herzegovina,BIH,2015,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.3
Bosnia and Herzegovina,BIH,2014,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.4
Bosnia and Herzegovina,BIH,2013,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.5
Bosnia and Herzegovina,BIH,2012,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.7
Bosnia and Herzegovina,BIH,2011,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.9
Bosnia and Herzegovina,BIH,2010,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.2
Bosnia and Herzegovina,BIH,2009,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.5
Bosnia and Herzegovina,BIH,2008,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.9
Bosnia and Herzegovina,BIH,2007,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.3
Bosnia and Herzegovina,BIH,2006,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.6
Bosnia and Herzegovina,BIH,2005,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.9
Bosnia and Herzegovina,BIH,2004,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9
Bosnia and Herzegovina,BIH,2003,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.2
Bosnia and Herzegovina,BIH,2002,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.3
Bosnia and Herzegovina,BIH,2001,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.6
